Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
71;0,2453;A AC;19.01.22 8:02:35,4;0:00:01,9;19.01.22 8:02:37,2;0,3496;A AC;0,239136842105263;A AC;19.01.22 8:02:36,1;0,2053;A AC;Unstable;19.01.22 8:02:37,4
72;0,3752;A AC;19.01.22 8:02:37,4;0:00:01,7;19.01.22 8:02:38,5;0,3878;A AC;0,385041176470588;A AC;19.01.22 8:02:37,4;0,3752;A AC;Stable;19.01.22 8:02:39,1
73;0,3241;A AC;19.01.22 8:02:39,1;0:00:01,1;19.01.22 8:02:39,1;0,3241;A AC;0,225572727272727;A AC;19.01.22 8:02:39,5;0,1445;A AC;Unstable;19.01.22 8:02:40,2
74;0,232;A AC;19.01.22 8:02:40,2;0:00:00,3;19.01.22 8:02:40,3;0,2457;A AC;0,238566666666667;A AC;19.01.22 8:02:40,2;0,232;A AC;Interval;19.01.22 8:02:40,5
75;0,2364;A AC;19.01.22 8:02:40,5;0:00:01,5;19.01.22 8:02:41,9;0,3526;A AC;0,2413;A AC;19.01.22 8:02:40,9;0,2062;A AC;Unstable;19.01.22 8:02:42,0
76;0,3775;A AC;19.01.22 8:02:42,0;0:00:01,7;19.01.22 8:02:43,0;0,3878;A AC;0,384647058823529;A AC;19.01.22 8:02:42,3;0,3763;A AC;Stable;19.01.22 8:02:43,7
77;0,2963;A AC;19.01.22 8:02:43,7;0:00:01,7;19.01.22 8:02:43,7;0,2963;A AC;0,226494117647059;A AC;19.01.22 8:02:44,0;0,1468;A AC;Unstable;19.01.22 8:02:45,4
78;0,2032;A AC;19.01.22 8:02:45,4;0:00:00,1;19.01.22 8:02:45,4;0,2032;A AC;0,2032;A AC;19.01.22 8:02:45,4;0,2032;A AC;Interval;19.01.22 8:02:45,5
79;0,2201;A AC;19.01.22 8:02:45,5;0:00:01,0;19.01.22 8:02:46,4;0,3209;A AC;0,24248;A AC;19.01.22 8:02:45,5;0,2201;A AC;Unstable;19.01.22 8:02:46,5
80;0,3694;A AC;19.01.22 8:02:46,5;0:00:01,8;19.01.22 8:02:47,5;0,388;A AC;0,383688888888889;A AC;19.01.22 8:02:48,2;0,3648;A AC;Stable;19.01.22 8:02:48,3
81;0,2796;A AC;19.01.22 8:02:48,3;0:00:01,8;19.01.22 8:02:48,3;0,2796;A AC;0,221822222222222;A AC;19.01.22 8:02:48,6;0,1508;A AC;Unstable;19.01.22 8:02:50,1
