Configurations,Start Time,Stop Time
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:21 CET 2022, Wed Jan 19 08:10:26 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:26 CET 2022, Wed Jan 19 08:10:30 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:30 CET 2022, Wed Jan 19 08:10:35 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:35 CET 2022, Wed Jan 19 08:10:40 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:40 CET 2022, Wed Jan 19 08:10:44 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:44 CET 2022, Wed Jan 19 08:10:49 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:49 CET 2022, Wed Jan 19 08:10:54 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:54 CET 2022, Wed Jan 19 08:10:59 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:59 CET 2022, Wed Jan 19 08:11:03 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:03 CET 2022, Wed Jan 19 08:11:08 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:08 CET 2022, Wed Jan 19 08:11:13 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:13 CET 2022, Wed Jan 19 08:11:18 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:18 CET 2022, Wed Jan 19 08:11:22 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:22 CET 2022, Wed Jan 19 08:11:27 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:27 CET 2022, Wed Jan 19 08:11:32 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:32 CET 2022, Wed Jan 19 08:11:37 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:37 CET 2022, Wed Jan 19 08:11:41 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:41 CET 2022, Wed Jan 19 08:11:46 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:46 CET 2022, Wed Jan 19 08:11:51 CET 2022
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:51 CET 2022, Wed Jan 19 08:11:56 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:11:56 CET 2022, Wed Jan 19 08:12:01 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:01 CET 2022, Wed Jan 19 08:12:06 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:06 CET 2022, Wed Jan 19 08:12:11 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:11 CET 2022, Wed Jan 19 08:12:15 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:15 CET 2022, Wed Jan 19 08:12:19 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:19 CET 2022, Wed Jan 19 08:12:23 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:23 CET 2022, Wed Jan 19 08:12:28 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:28 CET 2022, Wed Jan 19 08:12:32 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:32 CET 2022, Wed Jan 19 08:12:36 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:36 CET 2022, Wed Jan 19 08:12:41 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:41 CET 2022, Wed Jan 19 08:12:45 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:12:45 CET 2022, Wed Jan 19 08:12:50 CET 2022
