Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
74;0,2402;A AC;18.01.22 8:51:25,4;0:00:02,7;18.01.22 8:51:28,0;0,3496;A AC;0,23177037037037;A AC;18.01.22 8:51:25,6;0,1455;A AC;Unstable;18.01.22 8:51:28,1
75;0,3728;A AC;18.01.22 8:51:28,1;0:00:01,8;18.01.22 8:51:28,7;0,3859;A AC;0,382172222222222;A AC;18.01.22 8:51:28,1;0,3728;A AC;Stable;18.01.22 8:51:29,9
76;0,3107;A AC;18.01.22 8:51:29,9;0:00:00,3;18.01.22 8:51:29,9;0,3107;A AC;0,2403;A AC;18.01.22 8:51:30,1;0,1729;A AC;Unstable;18.01.22 8:51:30,2
77;0,1457;A AC;18.01.22 8:51:30,2;0:00:00,1;18.01.22 8:51:30,2;0,1457;A AC;0,1457;A AC;18.01.22 8:51:30,2;0,1457;A AC;Interval;18.01.22 8:51:30,3
78;0,174;A AC;18.01.22 8:51:30,3;0:00:02,4;18.01.22 8:51:32,6;0,3426;A AC;0,234370833333333;A AC;18.01.22 8:51:30,3;0,174;A AC;Unstable;18.01.22 8:51:32,7
79;0,3729;A AC;18.01.22 8:51:32,7;0:00:01,8;18.01.22 8:51:34,2;0,3848;A AC;0,381661111111111;A AC;18.01.22 8:51:34,4;0,3716;A AC;Stable;18.01.22 8:51:34,5
80;0,3016;A AC;18.01.22 8:51:34,5;0:00:00,7;18.01.22 8:51:34,5;0,3016;A AC;0,208914285714286;A AC;18.01.22 8:51:34,9;0,1456;A AC;Unstable;18.01.22 8:51:35,2
81;0,2469;A AC;18.01.22 8:51:35,2;0:00:00,1;18.01.22 8:51:35,2;0,2469;A AC;0,2469;A AC;18.01.22 8:51:35,2;0,2469;A AC;Interval;18.01.22 8:51:35,3
82;0,2549;A AC;18.01.22 8:51:35,3;0:00:02,2;18.01.22 8:51:37,5;0,3824;A AC;0,253922727272727;A AC;18.01.22 8:51:36,3;0,2026;A AC;Unstable;18.01.22 8:51:37,6
83;0,3848;A AC;18.01.22 8:51:37,6;0:00:01,6;18.01.22 8:51:38,7;0,3858;A AC;0,3839625;A AC;18.01.22 8:51:37,8;0,3814;A AC;Stable;18.01.22 8:51:39,2
84;0,3247;A AC;18.01.22 8:51:39,2;0:00:01,1;18.01.22 8:51:39,2;0,3247;A AC;0,223463636363636;A AC;18.01.22 8:51:39,5;0,1447;A AC;Unstable;18.01.22 8:51:40,3
85;0,2313;A AC;18.01.22 8:51:40,3;0:00:00,1;18.01.22 8:51:40,3;0,2313;A AC;0,2313;A AC;18.01.22 8:51:40,3;0,2313;A AC;Interval;18.01.22 8:51:40,4
86;0,2489;A AC;18.01.22 8:51:40,4;0:00:01,6;18.01.22 8:51:41,9;0,3202;A AC;0,23683125;A AC;18.01.22 8:51:40,9;0,2051;A AC;Unstable;18.01.22 8:51:42,0
87;0,3626;A AC;18.01.22 8:51:42,0;0:00:01,7;18.01.22 8:51:43,4;0,3859;A AC;0,3821;A AC;18.01.22 8:51:42,0;0,3626;A AC;Stable;18.01.22 8:51:43,7
